tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***20590,20241001,3,PARK ON PRIVATE PROPERTY,75,0000,AT,2350 DUNDAS ST W,,,ON
***20591,20241001,3,PARK ON PRIVATE PROPERTY,75,0001,AT,2350 DUNDAS ST W,,,ON
***03903,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0001,NR,91 CRAVEN RD,,,ON
***08113,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0001,OPP,10 NURSEWOOD RD,,,ON
***47826,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0002,NR,363 BROOKDALE AVE,,,ON
***08114,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0003,OPP,18 NURSEWOOD RD,,,ON
***86611,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0004,NR,301 ST HELEN'S AVE,,,ON
***31707,20241001,8,STAND VEH.-PROHIBIT TIME/DAY,120,0004,NR,41 WARD ST,,,ON
***34344,20241001,3,PARK ON PRIVATE PROPERTY,75,0005,,340 DIXON RD,,,ON
***47827,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0005,NR,363 BROOKDALE AVE,,,ON
***84522,20241001,3,PARK ON PRIVATE PROPERTY,75,0006,,49 THORNCLIFFE PARK DR,,,ON
***03904,20241001,355,PARK IN ACCESSIBLE NO PERMIT,450,0006,NR,175 CRAVEN RD,,,ON
***24078,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0007,OPP,61 BEATY AVE,,,ON
***86612,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0007,N/S,WHYTOCK AVE,W/O,LANSDOWNE AVE,ON
***31708,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0007,NR,152 WALLACE AVE,,,ON
***34345,20241001,3,PARK ON PRIVATE PROPERTY,75,0008,,340 DIXON RD,,,ON
***24079,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0008,NR,54 BEATY AVE,,,ON
***86613,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0008,N/S,WHYTOCK AVE,W/O,LANSDOWNE AVE,ON
***84734,20241001,3,PARK ON PRIVATE PROPERTY,75,0009,,4700 KEELE ST,,,ON
***31709,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0009,NR,46 WALLACE AVE,,,NS
***72788,20241001,8,STAND VEH.-PROHIBIT TIME/DAY,120,0010,OPP,77 PORTLAND ST,,,ON
***08115,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0010,OPP,15 MUNRO PARK AVE,,,ON
***52674,20241001,3,PARK ON PRIVATE PROPERTY,75,0010,AT,170 CHALKFARM DR,,,ON
***20592,20241001,14,PARK-OBSTRUCT (DRWAY/LANEWAY),65,0011,NR,272 PERTH AVE,,,ON
***24080,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0011,NR,40 BEATY AVE,,,ON
***08011,20241001,337,PARK - ON BOULEVARD,70,0011,NR,56 HIGHCOURT CRES,,,ON
***08116,20241001,29,PARK PROHIBITED TIME NO PERMIT,45,0011,NR,32 MUNRO PARK AVE,,,ON
