tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***73842,20240201,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0000,NR,4 SAUNDERS AVE,,,ON
***14892,20240201,3,PARK ON PRIVATE PROPERTY,75,0000,AT,75 QUEENS WHARF RD,,,ON
***84145,20240201,3,PARK ON PRIVATE PROPERTY,75,0001,AT,50 GRAYDON HALL DR,,,ON
***84169,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0001,NR,4 EDGEWOOD GDNS,,,ON
***14893,20240201,3,PARK ON PRIVATE PROPERTY,75,0001,AT,75 QUEENS WHARF RD,,,NJ
***91055,20240201,3,PARK ON PRIVATE PROPERTY,75,0002,,320 DIXON RD,,,ON
***31872,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0002,NR,77 HOWARD ST,,,ON
***84146,20240201,3,PARK ON PRIVATE PROPERTY,75,0002,AT,50 GRAYDON HALL DR,,,ON
***29617,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,269 CRAWFORD ST,,,ON
***74796,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,36 FENNINGS ST,,,ON
***14894,20240201,3,PARK ON PRIVATE PROPERTY,75,0003,AT,75 QUEENS WHARF RD,,,ON
***73843,20240201,192,STAND SIGNED TRANSIT STOP,150,0004,OPP,1604 QUEEN ST W,,,ON
***41609,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,3 SCHELL AVE,,,ON
***74797,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,70 FENNINGS ST,,,ON
***78796,20240201,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0004,NR,209 OAKMOUNT RD,,,ON
***84147,20240201,3,PARK ON PRIVATE PROPERTY,75,0004,AT,50 GRAYDON HALL DR,,,ON
***91109,20240201,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0004,NR,374 DANFORTH AVE,,,ON
***14895,20240201,3,PARK ON PRIVATE PROPERTY,75,0004,AT,75 QUEENS WHARF RD,,,ON
***12433,20240201,3,PARK ON PRIVATE PROPERTY,75,0005,,30 MEADOWGLEN PL,,,ON
***87207,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,21 ST JOSEPH ST,,,ON
***78797,20240201,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0005,NR,209 OAKMOUNT RD,,,ON
***14896,20240201,3,PARK ON PRIVATE PROPERTY,75,0005,AT,75 QUEENS WHARF RD,,,ON
***23148,20240201,3,PARK ON PRIVATE PROPERTY,75,0005,AT,75 QUEENS WHARF RD,,,ON
***12434,20240201,3,PARK ON PRIVATE PROPERTY,75,0006,,30 MEADOWGLEN PL,,,ON
***74798,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0006,NR,13 BROOKFIELD ST,,,ON
***91169,20240201,3,PARK ON PRIVATE PROPERTY,75,0007,,3201 LAWRENCE AVE E,,,ON
***31873,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,77 HOWARD ST,,,ON
***48299,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0007,OPP,200 JAMESON AVE,,,ON
***95660,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,510 KING ST E,,,ON
***12435,20240201,3,PARK ON PRIVATE PROPERTY,75,0008,,30 MEADOWGLEN PL,,,ON
***74799,20240201,192,STAND SIGNED TRANSIT STOP,150,0009,NR,1128 QUEEN ST W,,,ON
***78798,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0009,OPP,162 OAKMOUNT RD,,,ON
***95661,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0009,NR,569 KING ST E,,,ON
***18503,20240201,415,PARK COMMERC LOAD ZONE NOT LDG,40,0009,NR,21 DUNDAS SQ,,,ON
***23701,20240201,3,PARK ON PRIVATE PROPERTY,75,0010,,1735 KIPLING AVE,,,ON
***84170,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0010,OPP,4 NURSEWOOD RD,,,ON
***18504,20240201,415,PARK COMMERC LOAD ZONE NOT LDG,40,0010,NR,21 DUNDAS SQ,,,ON
***23702,20240201,3,PARK ON PRIVATE PROPERTY,75,0011,,1735 KIPLING AVE,,,ON
***91170,20240201,3,PARK ON PRIVATE PROPERTY,75,0011,,3201 LAWRENCE AVE E,,,ON
***48300,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,177 JAMESON AVE,,,ON
***78799,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0012,NR,255 GLENLAKE AVE,,,ON
***23149,20240201,367,STND ONSTRT ACCESSIBLE NO PRMT,450,0012,NR,150 DAN LECKIE WAY,,,ON
***63371,20240201,3,PARK ON PRIVATE PROPERTY,75,0013,AT,2085 ISLINGTON AVE,,,ON
***44016,20240201,3,PARK ON PRIVATE PROPERTY,75,0013,AT,14 CARLUKE CRES,,,ON
***48301,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0013,NR,169 JAMESON AVE,,,ON
***12436,20240201,3,PARK ON PRIVATE PROPERTY,75,0014,,30 MEADOWGLEN PL,,,ON
***63372,20240201,3,PARK ON PRIVATE PROPERTY,75,0014,AT,2085 ISLINGTON AVE,,,ON
***73844,20240201,337,PARK - ON BOULEVARD,50,0014,NR,216 CLOSE AVE,,,ON
***48302,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0014,NR,169 JAMESON AVE,,,ON
***82184,20240201,3,PARK ON PRIVATE PROPERTY,75,0014,AT,10 WILLOWRIDGE RD,,,ON
***84171,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0014,NR,172 NEVILLE PARK BLVD,,,ON
***12437,20240201,3,PARK ON PRIVATE PROPERTY,75,0015,,30 MEADOWGLEN PL,,,ON
***87208,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0015,NR,29 IRWIN AVE,,,ON
***36356,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0015,OPP,72 BROWNVILLE AVE,,,ON
***74800,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0015,NR,96 BEACONSFIELD AVE,,,ON
***78800,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0015,OPP,310 GLENLAKE AVE,,,ON
***84148,20240201,4,PARK ON MUNICIPAL PROPERTY,75,0015,AT,55 FOREST MANOR RD,,,ON
***18505,20240201,134,PARK-SIGNED HWY-PUBLIC LANE,40,0015,R/O,21 DUNDAS SQ,,,ON
***29618,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0016,OPP,316 ROXTON RD,,,ON
***36357,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0016,OPP,72 BROWNVILLE AVE,,,ON
***74801,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0016,NR,4 AFTON AVE,,,ON
***78801,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0016,OPP,310 GLENLAKE AVE,,,ON
***82185,20240201,3,PARK ON PRIVATE PROPERTY,75,0016,AT,10 WILLOWRIDGE RD,,,ON
***12438,20240201,3,PARK ON PRIVATE PROPERTY,75,0017,,30 MEADOWGLEN PL,,,ON
***63373,20240201,355,PARK IN ACCESSIBLE NO PERMIT,450,0017,AT,2085 ISLINGTON AVE,,,ON
***87209,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0017,NR,29 IRWIN AVE,,,ON
***82186,20240201,3,PARK ON PRIVATE PROPERTY,75,0017,AT,10 WILLOWRIDGE RD,,,ON
***36358,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,59 BROWNVILLE AVE,,,ON
***82187,20240201,3,PARK ON PRIVATE PROPERTY,75,0018,AT,10 WILLOWRIDGE RD,,,ON
***84172,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,155 NEVILLE PARK BLVD,,,ON
***02297,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0018,N/S,GOWAN AVE,W/O,PAPE AVE,ON
***36359,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0019,NR,47 BROWNVILLE AVE,,,ON
***82188,20240201,3,PARK ON PRIVATE PROPERTY,75,0019,AT,10 WILLOWRIDGE RD,,,ON
***23150,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0019,OPP,60 LEONARD AVE,,,ON
***71891,20240201,3,PARK ON PRIVATE PROPERTY,75,0020,,3002 ISLINGTON AVE,,,ON
***73845,20240201,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0020,NR,20 JOE SHUSTER WAY,,,QC
***36360,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0020,NR,47 BROWNVILLE AVE,,,ON
***74802,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0020,NR,153 LISGAR ST,,,ON
***78802,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0020,NR,124 HIGH PARK AVE,,,ON
***91171,20240201,3,PARK ON PRIVATE PROPERTY,75,0021,,10 TRUDELLE ST,,,PQ
***73846,20240201,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0021,NR,20 JOE SHUSTER WAY,,,ON
***82189,20240201,3,PARK ON PRIVATE PROPERTY,75,0021,AT,10 WILLOWRIDGE RD,,,ON
***84173,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0021,NR,9 NEVILLE PARK BLVD,,,ON
***71892,20240201,3,PARK ON PRIVATE PROPERTY,75,0022,,3002 ISLINGTON AVE,,,ON
***84437,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0022,NR,159 SHERWOOD AVE,,,ON
***29619,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0023,NR,663 SHAW ST,,,ON
***73847,20240201,8,STAND VEH.-PROHIBIT TIME/DAY,100,0024,NR,25 JOE SHUSTER WAY,,,ON
***82190,20240201,3,PARK ON PRIVATE PROPERTY,75,0024,AT,10 WILLOWRIDGE RD,,,ON
***91110,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0024,NR,537 JONES AVE,,,ON
***95662,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0024,W/S,DEFRIES ST,S/O,MARK ST,ON
***91172,20240201,3,PARK ON PRIVATE PROPERTY,75,0025,,10 TRUDELLE ST,,,ON
***74803,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0025,NR,96 DOVERCOURT RD,,,ON
***74804,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0025,NR,96 DOVERCOURT RD,,,ON
***82191,20240201,3,PARK ON PRIVATE PROPERTY,75,0025,AT,10 WILLOWRIDGE RD,,,ON
***84174,20240201,336,PARK-FAIL TO DISPLAY PERMIT,30,0025,NR,146 KINGSWOOD RD,,,ON
***95663,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0025,W/S,DEFRIES ST,S/O,MARK ST,ON
***12439,20240201,3,PARK ON PRIVATE PROPERTY,75,0026,,30 MEADOWGLEN PL,,,ON
***84438,20240201,49,FAIL TO PARK/STOP PARALL. RGHT,30,0026,NR,81 SHERWOOD AVE,,,ON
***53111,20240201,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0027,OPP,22 JUTTEN CRT,,,ON
***87210,20240201,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0027,NR,20 EDWARD ST,,,ON
***87211,20240201,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0027,OPP,20 EDWARD ST,,,ON
***29620,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0027,NR,605 SHAW ST,,,ON
***41610,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0027,NR,80 BENSON AVE,,,ON
***91111,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0027,NR,515 JONES AVE,,,ON
***48449,20240201,3,PARK ON PRIVATE PROPERTY,75,0028,,85 GEORGE APPLE WAY,,,ON
***23685,20240201,347,PARK IN A FIRE ROUTE,250,0028,,390 DIXON RD,,,ON
***93701,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0028,NR,209 ST CLARENS AVE,,,ON
***84439,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0028,NR,51 A SHERWOOD AVE,,,ON
***29621,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,709 SHAW ST,,,ON
***41611,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,80 BENSON AVE,,,ON
***78803,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,177 HIGH PARK AVE,,,ON
***23151,20240201,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,31 RYERSON AVE,,,ON
