tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***03848,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0824,OPP,40 OAKLANDS AVE,,,ON
***15745,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0824,NR,74 WEYBOURNE CRES,,,ON
***00584,20240320,3,PARK ON PRIVATE PROPERTY,75,0825,,200 SHERWAY DR,,,ON
***02605,20240320,312,PARKING MACH-NOT USED/NO FEE,75,0825,AT,201 CLAREMONT ST,,,ON
***03849,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0825,OPP,40 OAKLANDS AVE,,,ON
***42030,20240320,207,PARK MACHINE-REQD FEE NOT PAID,30,0825,NR,450 WALMER RD,,,ON
***38749,20240320,3,PARK ON PRIVATE PROPERTY,75,0826,,1615 DUNDAS ST E,,,ON
***68780,20240320,207,PARK MACHINE-REQD FEE NOT PAID,30,0826,NR,80 COOPERAGE ST,,,ON
***34614,20240320,207,PARK MACHINE-REQD FEE NOT PAID,30,0826,NR,858 COLLEGE ST,,,ON
***02606,20240320,314,PARK - NOT WITHIN PERIOD,75,0827,AT,201 CLAREMONT ST,,,ON
***68730,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0827,NR,111 DUPONT ST,,,ON
***97606,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0827,NR,10 ULSTER ST,,,ON
***34615,20240320,207,PARK MACHINE-REQD FEE NOT PAID,30,0827,NR,858 COLLEGE ST,,,ON
***44453,20240320,3,PARK ON PRIVATE PROPERTY,75,0828,AT,72 BLUE SPRINGS RD,,,ON
***61135,20240320,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,0828,NR,688 COXWELL AVE,,,ON
***97718,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0828,NR,18 COLGATE AVE,,,ON
***95887,20240320,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0829,NR,30 ANTRIM CRES,,,ON
***54851,20240320,207,PARK MACHINE-REQD FEE NOT PAID,30,0829,NR,1971 QUEEN ST E,,,ON
***68781,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0829,OPP,23 PALACE ST,,,ON
***15746,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0829,S/S,LYMPSTONE AVE,E/O,YONGE ST,ON
***54170,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0830,NR,135 HUPFIELD TRL,,,ON
***97719,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0830,NR,211 LOGAN AVE,,,ON
***03850,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0830,NR,30 MC MASTER AVE,,,ON
***42374,20240320,207,PARK MACHINE-REQD FEE NOT PAID,30,0830,NR,893 COLLEGE ST,,,ON
***15747,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0831,S/S,LYMPSTONE AVE,E/O,YONGE ST,ON
***77427,20240320,207,PARK MACHINE-REQD FEE NOT PAID,30,0832,NR,14 CHURCH ST,,,ON
***48956,20240320,30,STOP-(ON/OVER) (SIDEWK/FTPATH),150,0832,NR,105 BOND ST,,,ON
***85491,20240320,3,PARK ON PRIVATE PROPERTY,75,0832,AT,1989 LAWRENCE AVE E,,,ON
***54171,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0832,NR,107 HUPFIELD TRL,,,ON
***85549,20240320,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0833,OPP,11 SELBY ST,,,ON
***15748,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0833,NR,71 ST EDMUND'S DR,,,ON
***42375,20240320,207,PARK MACHINE-REQD FEE NOT PAID,30,0833,NR,858 COLLEGE ST,,,ON
***54825,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0834,W/S,DUNVEGAN RD,N/O,HEATH ST W,ON
***15749,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0834,NR,71 ST EDMUND'S DR,,,ON
***22140,20240320,3,PARK ON PRIVATE PROPERTY,75,0835,,3555 DON MILLS RD,,,ON
