tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***90961,20240701,37,PARK HEAVY (TRUCK/VEH.) TM/DY,90,0000,NR,34 HOPEDALE AVE,,,ON
***90962,20240701,37,PARK HEAVY (TRUCK/VEH.) TM/DY,90,0000,NR,34 HOPEDALE AVE,,,ON
***97071,20240701,3,PARK ON PRIVATE PROPERTY,75,0001,AT,238 WELLESLEY ST E,,,ON
***90766,20240701,257,PARK CONTRARY POSTED CONDITION,100,0002,AT,1675 LAKE SHORE BLVD E,,,ON
***90767,20240701,257,PARK CONTRARY POSTED CONDITION,100,0002,AT,1675 LAKE SHORE BLVD E,,,ON
***97072,20240701,3,PARK ON PRIVATE PROPERTY,75,0002,AT,238 WELLESLEY ST E,,,QC
***23058,20240701,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,83 ORCHARD VIEW BLVD,,,ON
***90768,20240701,257,PARK CONTRARY POSTED CONDITION,100,0003,AT,1675 LAKE SHORE BLVD E,,,ON
***97073,20240701,3,PARK ON PRIVATE PROPERTY,75,0003,AT,238 WELLESLEY ST E,,,ON
***23059,20240701,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,101 ORCHARD VIEW BLVD,,,ON
***90769,20240701,257,PARK CONTRARY POSTED CONDITION,100,0004,AT,1675 LAKE SHORE BLVD E,,,ON
***90770,20240701,257,PARK CONTRARY POSTED CONDITION,100,0004,AT,1675 LAKE SHORE BLVD E,,,ON
***97074,20240701,3,PARK ON PRIVATE PROPERTY,75,0004,AT,238 WELLESLEY ST E,,,ON
***68730,20240701,3,PARK ON PRIVATE PROPERTY,75,0005,,8825 SHEPPARD AVE EAST,,,ON
***23060,20240701,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,105 ORCHARD VIEW BLVD,,,ON
***90771,20240701,257,PARK CONTRARY POSTED CONDITION,100,0005,AT,1675 LAKE SHORE BLVD E,,,ON
***97075,20240701,3,PARK ON PRIVATE PROPERTY,75,0005,AT,238 WELLESLEY ST E,,,ON
***90772,20240701,257,PARK CONTRARY POSTED CONDITION,100,0006,AT,1675 LAKE SHORE BLVD E,,,ON
***90773,20240701,257,PARK CONTRARY POSTED CONDITION,100,0006,AT,1675 LAKE SHORE BLVD E,,,ON
***96330,20240701,29,PARK PROHIBITED TIME NO PERMIT,30,0006,NR,60 SCHELL AVE,,,ON
***97076,20240701,3,PARK ON PRIVATE PROPERTY,75,0006,AT,238 WELLESLEY ST E,,,ON
***68731,20240701,3,PARK ON PRIVATE PROPERTY,75,0007,,8825 SHEPPARD AVE EAST,,,ON
***63624,20240701,3,PARK ON PRIVATE PROPERTY,75,0007,,3171 EGLINTON AVE E,,,ON
***90774,20240701,257,PARK CONTRARY POSTED CONDITION,100,0007,AT,1675 LAKE SHORE BLVD E,,,ON
***97077,20240701,3,PARK ON PRIVATE PROPERTY,75,0007,AT,238 WELLESLEY ST E,,,ON
***70101,20240701,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,338 MONTROSE AVE,,,ON
***90775,20240701,257,PARK CONTRARY POSTED CONDITION,100,0008,AT,1675 LAKE SHORE BLVD E,,,ON
***90776,20240701,257,PARK CONTRARY POSTED CONDITION,100,0009,AT,1675 LAKE SHORE BLVD E,,,ON
***96331,20240701,29,PARK PROHIBITED TIME NO PERMIT,30,0009,NR,42 MIRANDA AVE,,,ON
***68732,20240701,3,PARK ON PRIVATE PROPERTY,75,0010,,8825 SHEPPARD AVE EAST,,,ON
***93376,20240701,3,PARK ON PRIVATE PROPERTY,75,0010,,270 THE KINGSWAY,,,ON
***90267,20240701,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,234 CONCORD AVE,,,ON
***90777,20240701,257,PARK CONTRARY POSTED CONDITION,100,0010,AT,1675 LAKE SHORE BLVD E,,,ON
***23061,20240701,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,80 EDITH DR,,,ON
***90778,20240701,257,PARK CONTRARY POSTED CONDITION,100,0011,AT,1675 LAKE SHORE BLVD E,,,ON
***90268,20240701,29,PARK PROHIBITED TIME NO PERMIT,30,0012,NR,256 CONCORD AVE,,,ON
***90779,20240701,257,PARK CONTRARY POSTED CONDITION,100,0012,AT,1675 LAKE SHORE BLVD E,,,ON
***96332,20240701,29,PARK PROHIBITED TIME NO PERMIT,30,0012,NR,77 CHAMBERLAIN AVE,,,ON
***96333,20240701,29,PARK PROHIBITED TIME NO PERMIT,30,0012,NR,73 CHAMBERLAIN AVE,,,ON
