tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***67171,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0000,NR,205 HIGHFIELD RD,,,ON
***08139,20240501,3,PARK ON PRIVATE PROPERTY,75,0001,,3311 BAYVIEW AVE,,,ON
***67172,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0001,NR,205 HIGHFIELD RD,,,ON
***77584,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0001,E/S,ST CLARENS AVE,S/O,DUNDAS ST W,ON
***80539,20240501,8,STAND VEH.-PROHIBIT TIME/DAY,100,0002,OPP,2 ROSEMOUNT AVE,,,ON
***81551,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0002,S/S,SCOLLARD ST,E/O,HAZELTON AVE,ON
***08888,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0002,NR,27 MANSFIELD AVE,,,ON
***09767,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0002,NR,88 WELLS ST,,,ON
***93991,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,445 LESLIE ST,,,ON
***08889,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,27 MANSFIELD AVE,,,AB
***08890,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,27 MANSFIELD AVE,,,ON
***67173,20240501,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0003,OPP,1342 GERRARD ST E,,,ON
***67174,20240501,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0003,OPP,1342 GERRARD ST E,,,ON
***77585,20240501,17,PARK-SIGNED HWY-15M INTERSECTN,50,0003,NR,27 HICKSON ST,,,QC
***81552,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0004,S/S,SCOLLARD ST,E/O,HAZELTON AVE,ON
***08140,20240501,3,PARK ON PRIVATE PROPERTY,75,0005,,3311 BAYVIEW AVE,,,ON
***85439,20240501,8,STAND VEH.-PROHIBIT TIME/DAY,100,0005,NR,335 QUEEN ST E,,,AZ
***85440,20240501,8,STAND VEH.-PROHIBIT TIME/DAY,100,0005,NR,335 QUEEN ST E,,,AZ
***93992,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,445 LESLIE ST,,,ON
***77586,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0005,OPP,66 ST CLARENS AVE,,,QC
***81553,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0007,S/S,SCOLLARD ST,E/O,HAZELTON AVE,ON
***85441,20240501,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0007,NR,319 QUEEN ST E,,,AZ
***08891,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,181 BEATRICE ST,,,ON
***05673,20240501,3,PARK ON PRIVATE PROPERTY,75,0008,,390 WOODSWORTH RD,,,ON
***48502,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,101 WOODMOUNT AVE,,,ON
***52285,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0008,S/S,PARKDALE RD,W/O,SUNNYSIDE AVE,ON
***80672,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0008,OPP,47 HANLEY ST,,,ON
***67175,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0008,OPP,44 COATSWORTH CRES,,,ON
***08141,20240501,3,PARK ON PRIVATE PROPERTY,75,0009,,3311 BAYVIEW AVE,,,ON
***80673,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0009,OPP,47 HANLEY ST,,,ON
***85442,20240501,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0009,NR,312 QUEEN ST E,,,AZ
***58889,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0009,NR,67 CLAXTON BLVD,,,ON
***48503,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,83 WOODMOUNT AVE,,,ON
***49409,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0010,OPP,149 COWAN AVE,,,ON
***52286,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0010,OPP,54 GLENDALE AVE,,,ON
***93993,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,50 HARRIET ST,,,ON
***09768,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,408 BRUNSWICK AVE,,,ON
***52287,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0011,OPP,34 GLENDALE AVE,,,ON
***80674,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0011,N/S,HANLEY ST,W/O,JANE ST,ON
***85443,20240501,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0011,NR,328 QUEEN ST E,,,AZ
***88018,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,200 DORA SPENCER RD,,,ON
***58890,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,59 CLAXTON BLVD,,,ON
***77587,20240501,16,PARK-WITHIN 9M INTERSECT ROAD,50,0011,S/S,NORTHERN PL,W/O,ST CLARENS AVE,ON
***08142,20240501,3,PARK ON PRIVATE PROPERTY,75,0013,,3311 BAYVIEW AVE,,,ON
***77892,20240501,3,PARK ON PRIVATE PROPERTY,75,0013,,15 CANYON AVE,,,ON
***52288,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0013,OPP,28 GLENDALE AVE,,,ON
***58891,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0013,NR,35 CLAXTON BLVD,,,ON
***77588,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0014,NR,242 LANSDOWNE AVE,,,ON
***93994,20240501,336,PARK-FAIL TO DISPLAY PERMIT,30,0015,W/S,HASTINGS AVE,S/O,HARRIET ST,ON
***09769,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0015,NR,344 BRUNSWICK AVE,,,ON
***81554,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0016,NR,38 DUGGAN AVE,,,ON
***84899,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0016,NR,8 HANLEY ST,,,ON
***88019,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0017,NR,3 OXFORD DR,,,ON
***58892,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0017,W/S,RAGLAN AVE,N/O,ST CLAIR AVE W,ON
***08144,20240501,3,PARK ON PRIVATE PROPERTY,75,0018,,3311 BAYVIEW AVE,,,ON
***88020,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,3 OXFORD DR,,,ON
***67176,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0018,OPP,78 STEPHENSON AVE,,,ON
***32099,20240501,347,PARK IN A FIRE ROUTE,250,0019,AT,8 YORK ST,,,ON
***52289,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0019,NR,253 GARDEN AVE,,,NF
***08892,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0020,NR,205 DELAWARE AVE,,,ON
***67177,20240501,29,PARK PROHIBITED TIME NO PERMIT,30,0020,OPP,78 STEPHENSON AVE,,,ON
