tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***32870,20240901,3,PARK ON PRIVATE PROPERTY,75,0001,,42 PINERY TRAIL,,,ON
***06078,20240901,384,STOP VEH OTR THN BCYCL-BYCL LN,200,0001,NR,33 BLOOR ST E,,,ON
***41922,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0002,NR,111 CRAVEN RD,,,ON
***32871,20240901,3,PARK ON PRIVATE PROPERTY,75,0003,,42 PINERY TRAIL,,,ON
***56692,20240901,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0003,NR,169 BARTLEY DR,,,ON
***54586,20240901,15,PARK-WITHIN 3M OF FIRE HYDRANT,125,0004,NR,5645 YONGE ST,,,ON
***10823,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0004,S/S,DAGMAR AVE,E/O,MARJORY AVE,ON
***56693,20240901,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0004,NR,169 BARTLEY DR,,,ON
***31226,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0004,NR,151 OSSINGTON AVE,,,ON
***07500,20240901,3,PARK ON PRIVATE PROPERTY,75,0005,,80 ETHER LORRIE DR,,,ON
***06192,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0005,NR,7 LEONARD AVE,,,ON
***41923,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0005,NR,183 CRAVEN RD,,,ON
***31227,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0005,NR,151 OSSINGTON AVE,,,ON
***06598,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0006,NR,21 SACKVILLE ST,,,AB
***18052,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0006,NR,20 STEWART ST,,,QC
***23625,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0006,OPP,526 HURON ST,,,ON
***10108,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0006,N/S,STEWART AVE,W/O,PORTLAND ST,ON
***23626,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0007,OPP,526 HURON ST,,,ON
***43175,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0007,NR,27 BELLEVILLE ST,,,ON
***10109,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0007,N/S,STEWART AVE,W/O,PORTLAND ST,AZ
***06599,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0008,NR,31 SACKVILLE ST,,,ON
***26727,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0008,NR,20 STEWART ST,,,ON
***01695,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0008,N/S,MILL ST,E/O,TRINITY ST,ON
***02291,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0008,NR,9 ST CLARENS AVE,,,ON
***10110,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0008,N/S,STEWART AVE,W/O,PORTLAND ST,ON
***40971,20240901,9,STOP-SIGNED HWY-PROHIBIT TM/DY,120,0009,NR,300 MANITOBA ST,,,NY
***23627,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0009,NR,86 LOWTHER AVE,,,ON
***02292,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0009,NR,15 ST CLARENS AVE,,,ON
***01227,20240901,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0010,NR,337 HARVIE AVE,,,ON
***06193,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0010,S/S,CARR ST,W/O,DENISON AVE,ON
***26728,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0010,NR,38 STEWART ST,,,ON
***41924,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0010,NR,335 CRAVEN RD,,,ON
***43176,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0010,OPP,41 BELLEVILLE ST,,,ON
***51249,20240901,29,PARK PROHIBITED TIME NO PERMIT,45,0010,S/S,IRWIN AVE,E/O,BAY ST,ON
