tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***52798,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0000,NR,24 HILLINGDON AVE,,,ON
***52799,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0001,NR,24 HILLINGDON AVE,,,ON
***09823,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0001,NR,610 DUFFERIN ST,,,ON
***61584,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0002,OPP,131 CEDARVALE AVE,,,ON
***88224,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0002,NR,82 MAITLAND ST,,,ON
***09824,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0002,NR,610 DUFFERIN ST,,,ON
***65528,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,200 DORA SPENCER RD,,,ON
***74874,20240401,383,STOP NON-BICYCLE IN CYCLE TRCK,150,0003,NR,2666 DANFORTH AVE,,,AZ
***09825,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,601 DUFFERIN ST,,,ON
***61585,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0004,OPP,171 CEDARVALE AVE,,,ON
***65595,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,471 GILBERT AVE,,,ON
***87905,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,291 BARTLETT AVE,,,ON
***09826,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,571 DUFFERIN ST,,,ON
***90914,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0005,OPP,14 MC CAUL ST,,,ON
***68270,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,5 WALMSLEY BLVD,,,NB
***88225,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,100 MAITLAND ST,,,ON
***88384,20240401,3,PARK ON PRIVATE PROPERTY,75,0006,AT,1300 YORK MILLS RD,,,ON
***09827,20240401,336,PARK-FAIL TO DISPLAY PERMIT,30,0006,NR,582 DUFFERIN ST,,,ON
***90915,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,14 MC CAUL ST,,,ON
***88385,20240401,3,PARK ON PRIVATE PROPERTY,75,0007,AT,1300 YORK MILLS RD,,,ON
***65596,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,449 GILBERT AVE,,,ON
***56052,20240401,8,STAND VEH.-PROHIBIT TIME/DAY,100,0008,OPP,67 PORTLAND ST,,,ON
***65529,20240401,192,STAND SIGNED TRANSIT STOP,150,0008,NR,1200 WESTON RD,,,ON
***65597,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0008,OPP,442 GILBERT AVE,,,ON
***88226,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,238 MUTUAL ST,,,ON
***09828,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,482 DUFFERIN ST,,,ON
***52800,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0009,NR,145 STRATHMORE BLVD,,,ON
***82169,20240401,8,STAND VEH.-PROHIBIT TIME/DAY,100,0009,OPP,67 PORTLAND ST,,,ON
***65598,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0009,OPP,442 GILBERT AVE,,,ON
***68271,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0009,NR,66 DUGGAN AVE,,,ON
***88525,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0009,NR,169 LAPPIN AVE,,,ON
***52801,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,145 STRATHMORE BLVD,,,ON
***82170,20240401,8,STAND VEH.-PROHIBIT TIME/DAY,100,0010,OPP,75 PORTLAND ST,,,ON
***87897,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0010,OPP,762 GLADSTONE AVE,,,ON
***98429,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,370 HOPEWELL AVE,,,ON
***88227,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0010,W/S,MUTUAL ST,N/O,GRANBY ST,ON
***88228,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0010,W/S,MUTUAL ST,N/O,GRANBY ST,ON
***09829,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,410 DUFFERIN ST,,,ON
***90916,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,14 MC CAUL ST,,,ON
***87569,20240401,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0011,NR,18 SEELEY DR,,,ON
***65530,20240401,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0011,OPP,1188 WESTON RD,,,ON
***68272,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,22 DUGGAN AVE,,,ON
***71264,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,104 ADMIRAL RD,,,ON
***75937,20240401,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0011,OPP,365 PARLIAMENT ST,,,ON
***88526,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,161 LAPPIN AVE,,,ON
***98430,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0012,NR,330 HOPEWELL AVE,,,ON
***11899,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0012,NR,15 MYRTLE AVE,,,ON
***88229,20240401,29,PARK PROHIBITED TIME NO PERMIT,30,0012,OPP,215 MUTUAL ST,,,ON
