tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***68914,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0000,OPP,170 MARINE PARADE DR,,,ON
***17023,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0001,NR,102 STEWART AVE,,,ON
***17024,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0001,NR,102 STEWART AVE,,,ON
***47650,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0001,OPP,73 MCROBERTS AVE,,,ON
***21919,20240601,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0001,NR,802 DOVERCOURT RD,,,ON
***36971,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0001,NR,127 GRACE ST,,,ON
***68915,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0001,OPP,170 MARINE PARADE DR,,,ON
***98197,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0002,OPP,55 STEWART ST,,,ON
***08025,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0002,NR,29 LAWS ST,,,ON
***36972,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0002,NR,136 GRACE ST,,,ON
***68916,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0002,OPP,170 MARINE PARADE DR,,,ON
***98198,20240601,366,PARK ONSTRT ACCESSIBLE NO PRMT,450,0003,NR,52 STEWART ST,,,ON
***21920,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,796 DOVERCOURT RD,,,ON
***68917,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0003,OPP,170 MARINE PARADE DR,,,ON
***68918,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0003,OPP,170 MARINE PARADE DR,,,ON
***17025,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,52 STEWART AVE,,,ON
***08026,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,12 LAWS ST,,,ON
***47651,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,24 MCROBERTS AVE,,,ON
***30825,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,790 DOVERCOURT RD,,,ON
***68919,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0004,OPP,170 MARINE PARADE DR,,,ON
***68920,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0004,OPP,170 MARINE PARADE DR,,,ON
***30826,20240601,8,STAND VEH.-PROHIBIT TIME/DAY,100,0005,NR,788 DOVERCOURT RD,,,ON
***36973,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0005,S/S,MANSFIELD AVE,E/O,GRACE ST,ON
***36974,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0005,S/S,MANSFIELD AVE,E/O,GRACE ST,ON
***36975,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0006,S/S,MANSFIELD AVE,E/O,GRACE ST,ON
***17026,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,52 STEWART AVE,,,ON
***47919,20240601,257,PARK CONTRARY POSTED CONDITION,100,0007,AT,155 CULFORD RD,,,ON
***08027,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,283 CLENDENAN AVE,,,ON
***36976,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0007,S/S,MANSFIELD AVE,E/O,GRACE ST,ON
***17027,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,50 PORTLAND ST,,,QC
***47920,20240601,257,PARK CONTRARY POSTED CONDITION,100,0008,AT,155 CULFORD RD,,,ON
***56948,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0008,W/S,REDPATH AVE,S/O,ROEHAMPTON AVE,ON
***30827,20240601,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0008,S/S,NORTHUMBERLAND ST,W/O,DOVERCOURT RD,ON
***36977,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0008,S/S,MANSFIELD AVE,E/O,GRACE ST,ON
***47921,20240601,257,PARK CONTRARY POSTED CONDITION,100,0009,AT,155 CULFORD RD,,,ON
***30828,20240601,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0009,S/S,NORTHUMBERLAND ST,W/O,DOVERCOURT RD,ON
***36978,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0009,NR,25 MANSFIELD AVE,,,ON
***68921,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0009,OPP,16 BROOKERS LANE,,,MB
***26896,20240601,3,PARK ON PRIVATE PROPERTY,75,0010,,320 DIXON RD,,,ON
***47922,20240601,257,PARK CONTRARY POSTED CONDITION,100,0010,AT,155 CULFORD RD,,,ON
***26372,20240601,48,FAIL TO PARK/STOP PARALL. CURB,30,0010,NR,24 MADRON CRES,,,ON
***36979,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0010,OPP,210 BELLWOODS AVE,,,ON
***68922,20240601,86,"PARK-SIGNED HWY-""T"" INTERSECTN",40,0010,S/S,ANNIE CRAIG DR,W/O,BROOKERS LANE,ON
***56949,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0011,NR,188 REDPATH AVE,,,ON
***26373,20240601,48,FAIL TO PARK/STOP PARALL. CURB,30,0011,NR,24 MADRON CRES,,,ON
***61216,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0011,OPP,100 WESTERN BATTERY RD,,,ON
***60804,20240601,3,PARK ON PRIVATE PROPERTY,75,0012,,150 LONG BRANCH AVE,,,ON
***30829,20240601,48,FAIL TO PARK/STOP PARALL. CURB,30,0012,OPP,70 NORTHUMBERLAND ST,,,ON
***68032,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0013,NR,543 RICHMOND ST W,,,ON
***47652,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0013,NR,196 MCROBERTS AVE,,,ON
***30830,20240601,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0013,OPP,70 NORTHUMBERLAND ST,,,SK
***36980,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0013,NR,3 CLINTON ST,,,ON
***61217,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0013,OPP,80 WESTERN BATTERY RD,,,ON
***08028,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0014,NR,178 EVELYN AVE,,,ON
***12691,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0014,OPP,1 PALACE PIER CRT,,,ON
***12692,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0014,OPP,1 PALACE PIER CRT,,,ON
***98199,20240601,8,STAND VEH.-PROHIBIT TIME/DAY,100,0015,NR,636 KING ST W,,,ON
***69159,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0015,NR,78 ROSEVEAR AVE,,,ON
***04101,20240601,257,PARK CONTRARY POSTED CONDITION,100,0015,AT,1675 LAKE SHORE BLVD E,,,ON
***61218,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0015,OPP,46 WESTERN BATTERY RD,,,QC
***04102,20240601,257,PARK CONTRARY POSTED CONDITION,100,0016,AT,1675 LAKE SHORE BLVD E,,,ON
***08029,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0016,NR,186 EVELYN AVE,,,ON
***56950,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0016,NR,2 BROADWAY AVE,,,ON
***36981,20240601,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0016,OPP,2 GORE ST,,,ON
***61219,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0016,OPP,42 WESTERN BATTERY RD,,,ON
***04103,20240601,257,PARK CONTRARY POSTED CONDITION,100,0017,AT,1675 LAKE SHORE BLVD E,,,ON
***56951,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0017,NR,2 BROADWAY AVE,,,ON
***67253,20240601,48,FAIL TO PARK/STOP PARALL. CURB,30,0017,NR,51 WINDSOR RD,,,ON
***06676,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0017,NR,555 RICHMOND ST W,,,ON
***22026,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0017,NR,12 MIRANDA AVE,,,ON
***36982,20240601,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0017,NR,2 GORE ST,,,ON
***60805,20240601,3,PARK ON PRIVATE PROPERTY,75,0018,,150 LONG BRANCH AVE,,,ON
***04104,20240601,257,PARK CONTRARY POSTED CONDITION,100,0018,AT,1675 LAKE SHORE BLVD E,,,ON
***08030,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,186 EVELYN AVE,,,ON
***12693,20240601,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0018,NR,98 MARINE PARADE DR,,,ON
***36983,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,2 GORE ST,,,ON
***36984,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0018,NR,2 GORE ST,,,MI
***26064,20240601,3,PARK ON PRIVATE PROPERTY,75,0019,,44 WILLOWRIDGE RD,,,ON
***26065,20240601,3,PARK ON PRIVATE PROPERTY,75,0019,,44 WILLOWRIDGE RD,,,ON
***60806,20240601,3,PARK ON PRIVATE PROPERTY,75,0019,,150 LONG BRANCH AVE,,,ON
***04105,20240601,257,PARK CONTRARY POSTED CONDITION,100,0019,AT,1675 LAKE SHORE BLVD E,,,ON
***22027,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0019,W/S,MIRANDA AVE,S/O,BOWIE AVE,ON
***61220,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0019,OPP,34 WESTERN BATTERY RD,,,ON
***15226,20240601,3,PARK ON PRIVATE PROPERTY,75,0020,,2790 EGLINTON AVE E,,,ON
***26053,20240601,3,PARK ON PRIVATE PROPERTY,75,0020,,44 WILOWRIDGE RD,,,ON
***53276,20240601,3,PARK ON PRIVATE PROPERTY,75,0020,,44 WILLOWRIDGE RD,,,ON
***98200,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0020,NR,39 NIAGARA ST,,,MB
***56952,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0020,NR,40 MONTGOMERY AVE,,,ON
***36985,20240601,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0020,NR,9 GORE ST,,,ON
***68161,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0020,OPP,26 WESTERN BATTERY RD,,,ON
***26054,20240601,3,PARK ON PRIVATE PROPERTY,75,0021,,44 WILLOWRIDGE ROAD,,,ON
***53277,20240601,3,PARK ON PRIVATE PROPERTY,75,0021,,44 WILLOWRIDGE RD,,,ON
***04106,20240601,257,PARK CONTRARY POSTED CONDITION,100,0021,AT,1675 LAKE SHORE BLVD E,,,ON
***04107,20240601,257,PARK CONTRARY POSTED CONDITION,100,0021,AT,1675 LAKE SHORE BLVD E,,,ON
***56953,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0021,NR,34 MONTGOMERY AVE,,,ON
***22028,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0022,N/S,SCHELL AVE,E/O,MIRANDA AVE,ON
***36986,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0022,NR,2 GORE ST,,,ON
***53278,20240601,3,PARK ON PRIVATE PROPERTY,75,0023,,447 WILLOWRIDGE RD,,,ON
***98201,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0023,NR,23 NIAGARA ST,,,ON
***08031,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0023,NR,77 FAIRVIEW AVE,,,ON
***09127,20240601,257,PARK CONTRARY POSTED CONDITION,100,0023,AT,1675 LAKE SHORE BLVD E,,,ON
***36987,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0023,NR,31 CLINTON ST,,,ON
***17028,20240601,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0024,NR,31 PORTLAND ST,,,ON
***09128,20240601,257,PARK CONTRARY POSTED CONDITION,100,0024,AT,1675 LAKE SHORE BLVD E,,,ON
***56954,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0024,NR,101 ORCHARD VIEW BLVD,,,ON
***70736,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0024,NR,1 FENWICK AVE,,,ON
***36988,20240601,363,PARK ONSTRT ACCESSIBLE NO PRMT,450,0024,NR,37 CLINTON ST,,,ON
***68162,20240601,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0024,NR,19 WESTERN BATTERY RD,,,ON
***17029,20240601,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0025,NR,31 PORTLAND ST,,,ON
***09129,20240601,257,PARK CONTRARY POSTED CONDITION,100,0025,AT,1675 LAKE SHORE BLVD E,,,ON
***56955,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0025,NR,125 ORCHARD VIEW BLVD,,,ON
***70737,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0025,NR,17 FENWICK AVE,,,ON
***22029,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0025,NR,44 SCHELL AVE,,,ON
***36989,20240601,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0025,NR,37 CLINTON ST,,,ON
***26055,20240601,3,PARK ON PRIVATE PROPERTY,75,0026,,44 WILLOWRIDGE ROAD,,,ON
***41402,20240601,3,PARK ON PRIVATE PROPERTY,75,0026,,20 GRAYDON HALL DR,,,ON
***53279,20240601,3,PARK ON PRIVATE PROPERTY,75,0026,,44 WILLOWRIDGE RD,,,ON
***09130,20240601,257,PARK CONTRARY POSTED CONDITION,100,0026,AT,1675 LAKE SHORE BLVD E,,,ON
***56956,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0027,NR,74 EDITH DR,,,ON
***70738,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0027,NR,45 FENWICK AVE,,,ON
***53280,20240601,3,PARK ON PRIVATE PROPERTY,75,0028,,44 WILLOWRIDGE RD,,,ON
***97807,20240601,3,PARK ON PRIVATE PROPERTY,75,0028,AT,50 ALEXANDER ST,,,ON
***08032,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0028,OPP,177 FAIRVIEW AVE,,,ON
***09131,20240601,257,PARK CONTRARY POSTED CONDITION,100,0028,AT,1675 LAKE SHORE BLVD E,,,ON
***12694,20240601,250,PARK IN PARK NOT IN DESIG AREA,100,0028,AT,2225 LAKE SHORE BLVD W,,,ON
***26057,20240601,3,PARK ON PRIVATE PROPERTY,75,0029,,44 WILLOWRIDGE RD,,,ON
***53281,20240601,3,PARK ON PRIVATE PROPERTY,75,0029,,44 WILLOWRIDGE RD,,,ON
***56957,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,90 EDITH DR,,,ON
***12695,20240601,250,PARK IN PARK NOT IN DESIG AREA,100,0029,AT,2225 LAKE SHORE BLVD W,,,ON
***36990,20240601,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,67 CLINTON ST,,,ON
