tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***28845,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0000,S/S,ROSEMOUNT AVE,W/O,LAUDER AVE,ON
***73060,20241101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,120,0000,OPP,548 KING ST W,,,ON
***80660,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0000,NR,47 BORDEN ST,,,ON
***80661,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0000,NR,47 BORDEN ST,,,ON
***65130,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0001,NR,151 OSSINGTON AVE,,,ON
***73061,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0001,OPP,548 KING ST W,,,ON
***80662,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0001,NR,3 BORDEN ST,,,ON
***65131,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0002,NR,151 OSSINGTON AVE,,,ON
***80663,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0002,NR,3 BORDEN ST,,,ON
***80664,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0002,NR,3 BORDEN ST,,,ON
***65132,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0003,NR,151 OSSINGTON AVE,,,ON
***65133,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0003,NR,151 OSSINGTON AVE,,,ON
***28846,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0003,OPP,135 LAUDER AVE,,,ON
***50907,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0003,NR,14 ARNOLD ST,,,ON
***65134,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0004,NR,151 OSSINGTON AVE,,,ON
***42399,20241101,3,PARK ON PRIVATE PROPERTY,75,0004,AT,808 YORK MILLS RD,,,ON
***73062,20241101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,120,0004,NR,548 KING ST W,,,ON
***88927,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0004,NR,91 OSSINGTON AVE,,,ON
***74555,20241101,3,PARK ON PRIVATE PROPERTY,75,0005,,180 CHALKFARM DR,,,ON
***65135,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0005,NR,151 OSSINGTON AVE,,,ON
***65136,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0005,NR,151 OSSINGTON AVE,,,ON
***02529,20241101,3,PARK ON PRIVATE PROPERTY,75,0005,AT,100 GRAYDON HALL DR,,,ON
***02890,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0005,S/S,MCGILL ST,W/O,CHURCH ST,ON
***28847,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0005,NR,136 LAUDER AVE,,,ON
***80665,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0005,OPP,128 BORDEN ST,,,ON
***02530,20241101,3,PARK ON PRIVATE PROPERTY,75,0006,AT,100 GRAYDON HALL DR,,,ON
***02531,20241101,3,PARK ON PRIVATE PROPERTY,75,0006,AT,100 GRAYDON HALL DR,,,ON
***02891,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0006,S/S,MCGILL ST,W/O,CHURCH ST,ON
***28848,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0006,OPP,136 LAUDER AVE,,,ON
***31574,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0006,NR,1 FALAISE RD,,,ON
***88928,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0006,NR,100 OSSINGTON AVE,,,ON
***02892,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0007,S/S,MCGILL ST,W/O,CHURCH ST,ON
***28849,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0007,OPP,136 LAUDER AVE,,,ON
***31575,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0007,NR,1 FALAISE RD,,,ON
***02532,20241101,3,PARK ON PRIVATE PROPERTY,75,0008,AT,100 GRAYDON HALL DR,,,ON
***02533,20241101,3,PARK ON PRIVATE PROPERTY,75,0008,AT,100 GRAYDON HALL DR,,,ON
***02893,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0008,S/S,MCGILL ST,W/O,CHURCH ST,ON
***02894,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0008,S/S,MCGILL ST,W/O,CHURCH ST,ON
***02534,20241101,3,PARK ON PRIVATE PROPERTY,75,0009,AT,100 GRAYDON HALL DR,,,ON
***83618,20241101,3,PARK ON PRIVATE PROPERTY,75,0010,,40 MEADOWGLEN PL,,,ON
***65137,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0010,NR,172 OSSINGTON AVE,,,ON
***02895,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0010,S/S,MCGILL ST,W/O,CHURCH ST,ON
***45829,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0010,OPP,136 LAUDER AVE,,,ON
***80666,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0010,NR,117 LIPPINCOTT ST,,,ON
***88929,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0010,NR,16 FOXLEY ST,,,ON
***30821,20241101,3,PARK ON PRIVATE PROPERTY,75,0011,,33 GABIAN WAY,,,ON
***65138,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0011,NR,172 OSSINGTON AVE,,,ON
***02535,20241101,3,PARK ON PRIVATE PROPERTY,75,0011,AT,100 GRAYDON HALL DR,,,ON
***73063,20241101,49,FAIL TO PARK/STOP PARALL. RGHT,40,0011,NR,10 MORRISON AVE,,,ON
***80667,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0011,NR,117 LIPPINCOTT ST,,,ON
***65139,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0012,NR,182 OSSINGTON AVE,,,ON
***65140,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0012,NR,182 OSSINGTON AVE,,,ON
***02536,20241101,3,PARK ON PRIVATE PROPERTY,75,0012,AT,100 GRAYDON HALL DR,,,ON
***02537,20241101,3,PARK ON PRIVATE PROPERTY,75,0012,AT,100 GRAYDON HALL DR,,,ON
***02896,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0012,E/S,SHEARD ST,N/O,MCGILL ST,ON
***45830,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0012,NR,116 LAUDER AVE,,,ON
***73064,20241101,414,PARK VEH.-COMMERCIAL LOAD ZONE,50,0012,OPP,10 MORRISON AVE,,,ON
***75975,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0012,NR,94 KENWOOD AVE,,,ON
***88930,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0012,NR,40 FOXLEY ST,,,ON
***30822,20241101,3,PARK ON PRIVATE PROPERTY,75,0013,,33 GABIAN WAY,,,ON
***65141,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0013,NR,186 OSSINGTON AVE,,,ON
***65142,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0013,NR,188 OSSINGTON AVE,,,ON
***02538,20241101,3,PARK ON PRIVATE PROPERTY,75,0013,AT,100 GRAYDON HALL DR,,,ON
***02897,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0013,OPP,8 GRANBY ST,,,ON
***05178,20241101,15,PARK-WITHIN 3M OF FIRE HYDRANT,125,0013,NR,89 WRIGHT AVE,,,ON
***88931,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0013,NR,40 FOXLEY ST,,,ON
***83620,20241101,3,PARK ON PRIVATE PROPERTY,75,0014,,30 MEADOWGLEN PL,,,ON
***65143,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0014,NR,213 OSSINGTON AVE,,,ON
***02898,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0014,OPP,8 GRANBY ST,,,ON
***73065,20241101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,120,0014,OPP,20 BRANT ST,,,ON
***80668,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0014,NR,105 LIPPINCOTT ST,,,ON
***80669,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0014,NR,105 LIPPINCOTT ST,,,ON
***74557,20241101,3,PARK ON PRIVATE PROPERTY,75,0015,,180 CHALKFARM DR,,,ON
***02899,20241101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,120,0015,OPP,16 GRANBY ST,,,ON
***02900,20241101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,120,0015,OPP,16 GRANBY ST,,,ON
***80670,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0015,NR,101 LIPPINCOTT ST,,,ON
***65144,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0016,NR,209 OSSINGTON AVE,,,ON
***02901,20241101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,120,0016,OPP,16 GRANBY ST,,,ON
***45831,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0016,OPP,55 REGAL RD,,,ON
***80671,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0016,NR,97 LIPPINCOTT ST,,,ON
***65145,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0017,NR,209 OSSINGTON AVE,,,ON
***01039,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0017,NR,21 BUSHEY AVE,,,ON
***02902,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0017,NR,41 GRANBY ST,,,ON
***05179,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0017,NR,100 FULLER AVE,,,ON
***45832,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0017,OPP,55 REGAL RD,,,ON
***88932,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0017,NR,19 LAKEVIEW AVE,,,ON
***91164,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0017,NR,83 LIPPINCOTT ST,,,ON
***91165,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0017,NR,83 LIPPINCOTT ST,,,ON
***50908,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0018,NR,30 CARNATION AVE,,,ON
***02903,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0019,NR,53 GRANBY ST,,,ON
***50909,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0019,NR,20 CARNATION AVE,,,ON
***88933,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0019,NR,44 GROVE AVE,,,ON
***29236,20241101,3,PARK ON PRIVATE PROPERTY,75,0020,,3580 LAKESHORE BLVD W,,,ON
***02904,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0020,OPP,78 GRANBY ST,,,ON
***45833,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0020,OPP,45 MOUNT ROYAL AVE,,,ON
***50910,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0020,NR,20 CARNATION AVE,,,ON
***88934,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0020,NR,44 GROVE AVE,,,ON
***74558,20241101,3,PARK ON PRIVATE PROPERTY,75,0021,,180 CHALKFARM DR,,,ON
***55511,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0021,NR,100 MAITLAND ST,,,ON
***02905,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0021,OPP,78 GRANBY ST,,,ON
***02906,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0021,OPP,78 GRANBY ST,,,ON
***98509,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0021,NR,35 AVONLEA BLVD,,,ON
***83621,20241101,3,PARK ON PRIVATE PROPERTY,75,0022,,30 MEADOWGLEN PL,,,ON
***02778,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0022,OPP,275 YONGE ST,,,ON
***50911,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0022,NR,10 CARNATION AVE,,,ON
***29237,20241101,3,PARK ON PRIVATE PROPERTY,75,0023,,3580 LAKESHORE  BLVD W,,,ON
***55512,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0023,NR,100 MAITLAND ST,,,ON
***02907,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0023,OPP,86 MCGILL ST,,,ON
***45834,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0023,NR,37 MOUNT ROYAL AVE,,,QC
***88935,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0023,NR,24 GROVE AVE,,,BC
***55513,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0024,NR,84 MAITLAND ST,,,ON
***02908,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0024,OPP,68 MCGILL ST,,,ON
***31576,20241101,30,STOP-(ON/OVER) (SIDEWK/FTPATH),200,0024,NR,68 EDENMILLS DR,,,ON
***45835,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0024,NR,25 MOUNT ROYAL AVE,,,ON
***50912,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0024,OPP,118 TWENTY FOURTH ST,,,ON
***98510,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0024,NR,59 DENTONIA PARK AVE,,,ON
***02909,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0025,OPP,68 MCGILL ST,,,ON
***05180,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0025,NR,105 KENNEDY AVE,,,ON
***75976,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0025,NR,8 VALEWOOD AVE,,,ON
***55514,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0026,NR,84 MAITLAND ST,,,ON
***02910,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0026,OPP,66 MCGILL ST,,,ON
***02911,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0026,OPP,66 MCGILL ST,,,ON
***45836,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0026,NR,11 MOUNT ROYAL AVE,,,ON
***75977,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0026,NR,154 PINEWOOD AVE,,,ON
***91166,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0026,NR,7 BORDEN ST,,,ON
***98511,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0026,NR,63 DENTONIA PARK AVE,,,ON
***55515,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0027,NR,84 MAITLAND ST,,,ON
***45837,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0027,NR,5 MOUNT ROYAL AVE,,,ON
***50913,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0027,OPP,16 TWENTY FOURTH ST,,,ON
***88936,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0027,NR,17 RUSHOLME RD,,,ON
***91167,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0027,NR,7 BORDEN ST,,,ON
***83622,20241101,3,PARK ON PRIVATE PROPERTY,75,0028,,30 MEADOWGLEN PL,,,ON
***02779,20241101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,120,0028,OPP,10 EDWARD ST,,,ON
***50914,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0028,OPP,21 TWENTY FOURTH ST,,,ON
***75978,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0028,NR,160 PINEWOOD AVE,,,ON
***88937,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0028,NR,17 RUSHOLME RD,,,ON
***02912,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0029,OPP,124 MCGILL ST,,,ON
***83623,20241101,3,PARK ON PRIVATE PROPERTY,75,0030,,30 MADOWGLEN DR,,,ON
***02780,20241101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,120,0030,OPP,28 EDWARD ST,,,ON
***02913,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0030,OPP,124 MCGILL ST,,,ON
***05181,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0030,OPP,26 GLENDALE AVE,,,ON
***50915,20241101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,65,0030,OPP,28 FAIRFIELD AVE,,,ON
***91168,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0030,NR,25 BORDEN ST,,,ON
***40125,20241101,3,PARK ON PRIVATE PROPERTY,75,0031,,34 BROOKWELL DR,,,ON
***92016,20241101,384,STOP VEH OTR THN BCYCL-BYCL LN,200,0031,NR,388 BLOOR ST E,,,ON
***02781,20241101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,120,0031,OPP,28 EDWARD ST,,,ON
***05182,20241101,29,PARK PROHIBITED TIME NO PERMIT,45,0031,OPP,26 GLENDALE AVE,,,ON
